Community,Feature_1,Feature_2,Feature_3,Feature_4
1,8,1,0.19,0.33
2,53,1,0.0,0.16
3,24,1,0.0,0.42
4,34,1,0.04,0.77
5,42,1,0.01,0.55
6,6,1,0.02,0.28
7,44,1,0.01,0.39
8,6,1,0.01,0.74
9,21,1,0.03,0.34
10,29,1,0.01,0.4
11,6,1,0.13,0.71
12,36,1,0.02,0.46
13,25,1,0.03,0.47
14,55,1,0.01,0.44
15,6,1,0.04,0.36
16,19,1,0.03,0.34
17,36,1,0.15,0.31
18,34,1,0.01,0.53
19,18,1,0.02,0.47
20,42,1,0.0,0.41
21,6,1,0.25,0.54
22,12,1,1.0,0.42
23,41,1,0.01,0.34
24,19,1,0.11,0.43
25,6,1,0.02,0.96
26,8,1,0.0,0.33
27,6,1,0.06,0.49
28,39,1,0.01,0.37
29,54,1,0.01,0.27
30,9,1,0.0,0.5
31,1,1,0.01,0.3
32,19,1,0.29,0.34
33,1,1,0.04,0.37
34,51,1,0.09,0.43
35,6,1,0.03,0.36
36,18,1,0.19,0.3
37,6,1,0.03,0.56
38,41,1,0.01,0.52
39,40,1,0.02,0.5
40,34,1,0.01,0.14
41,34,1,0.01,0.46
42,44,1,0.06,0.37
43,1,1,0.0,0.45
44,6,1,0.09,0.37
45,34,1,0.02,0.73
46,8,1,0.12,0.41
47,34,1,0.03,0.67
48,35,1,0.0,0.47
49,8,1,0.04,0.32
50,33,1,0.01,0.35
51,18,1,0.06,0.31
52,6,1,0.35,0.62
53,34,1,0.04,0.52
54,34,1,0.02,0.62
55,39,1,0.0,0.47
56,48,1,0.01,0.48
57,6,1,0.16,0.44
58,53,1,0.0,0.34
59,1,1,0.24,0.37
60,34,1,0.0,0.4
61,34,1,0.01,0.36
62,51,1,0.02,0.41
63,41,1,0.0,0.38
64,4,1,0.01,0.59
65,6,1,0.02,0.5
66,6,1,0.04,0.25
67,37,1,0.07,0.42
68,34,1,0.01,0.43
69,34,1,0.05,0.59
70,36,1,0.0,0.39
71,29,1,0.04,0.57
72,6,1,0.05,0.46
73,19,1,0.04,0.58
74,9,1,0.02,0.49
75,9,1,0.08,0.39
76,25,1,0.02,0.21
77,40,1,0.02,0.41
78,48,1,0.08,0.43
79,8,1,0.14,0.4
80,8,1,0.34,0.35
81,36,1,0.29,0.42
82,49,1,0.09,0.43
83,48,1,0.0,0.42
84,39,1,0.01,0.52
85,46,1,0.0,0.65
86,29,1,0.0,0.36
87,4,1,0.02,0.34
88,6,1,0.02,0.04
89,41,1,0.0,0.37
90,6,1,0.04,0.34
91,12,1,0.02,0.3
92,28,1,0.02,0.58
93,44,1,0.0,0.45
94,41,1,0.0,0.49
95,6,1,0.04,0.47
96,25,1,0.07,0.34
