Port Name,State,Port Code,Border,Date,Measure,Value,Location
Del Bonita,Montana,3322,US-Canada Border,03/01/2019 12:00:00 AM,Truck Containers Full,39,POINT (-112.32481 48.63274)
Vanceboro,Maine,105,US-Canada Border,03/01/2019 12:00:00 AM,Personal Vehicles,1476,POINT (-67.42955 45.55984)
Westhope,North Dakota,3419,US-Canada Border,03/01/2019 12:00:00 AM,Trucks,861,POINT (-101.02001 48.9094)
Nogales,Arizona,2604,US-Mexico Border,03/01/2019 12:00:00 AM,Truck Containers Empty,5928,POINT (-110.93361 31.340279999999996)
Lukeville,Arizona,2602,US-Mexico Border,03/01/2019 12:00:00 AM,Personal Vehicles,46128,POINT (-112.81500000000001 31.8825)
Massena,New York,704,US-Canada Border,03/01/2019 12:00:00 AM,Personal Vehicle Passengers,118275,POINT (-74.74 44.98944)
Otay Mesa,California,2506,US-Mexico Border,03/01/2019 12:00:00 AM,Pedestrians,306812,POINT (-117.05333 32.57333)
Sarles,North Dakota,3409,US-Canada Border,03/01/2019 12:00:00 AM,Truck Containers Full,54,POINT (-98.99457 48.941050000000004)
Del Rio,Texas,2302,US-Mexico Border,03/01/2019 12:00:00 AM,Buses,1,POINT (-100.89639 29.3625)
Boundary,Washington,3015,US-Canada Border,03/01/2019 12:00:00 AM,Truck Containers Empty,19,POINT (-117.89655000000002 48.54648)
Douglas,Arizona,2601,US-Mexico Border,03/01/2019 12:00:00 AM,Personal Vehicles,144173,POINT (-109.54472 31.344439999999995)
Eagle Pass,Texas,2303,US-Mexico Border,03/01/2019 12:00:00 AM,Trains,282,POINT (-100.49917 28.70889)
Boundary,Washington,3015,US-Canada Border,03/01/2019 12:00:00 AM,Trucks,20,POINT (-117.89655000000002 48.54648)
Jackman,Maine,104,US-Canada Border,03/01/2019 12:00:00 AM,Personal Vehicle Passengers,12881,POINT (-70.255 45.62389)
Port Angeles,Washington,3007,US-Canada Border,03/01/2019 12:00:00 AM,Truck Containers Full,24,POINT (-123.43280000000001 48.11365)
Danville,Washington,3012,US-Canada Border,03/01/2019 12:00:00 AM,Truck Containers Empty,33,POINT (-118.50309000000001 48.99617)
Port Huron,Michigan,3802,US-Canada Border,03/01/2019 12:00:00 AM,Bus Passengers,3707,POINT (-82.47889 42.97583)
Limestone,Maine,118,US-Canada Border,03/01/2019 12:00:00 AM,Trucks,28,POINT (-67.82708 46.90941)
Andrade,California,2502,US-Mexico Border,03/01/2019 12:00:00 AM,Personal Vehicles,50180,POINT (-114.63402 32.7394)
Del Bonita,Montana,3322,US-Canada Border,03/01/2019 12:00:00 AM,Pedestrians,2,POINT (-112.32481 48.63274)
Piegan,Montana,3316,US-Canada Border,03/01/2019 12:00:00 AM,Truck Containers Full,155,POINT (-113.43406 48.85152)
Progreso,Texas,2309,US-Mexico Border,03/01/2019 12:00:00 AM,Personal Vehicle Passengers,259042,POINT (-97.94889 26.061670000000003)
Baudette,Minnesota,3424,US-Canada Border,03/01/2019 12:00:00 AM,Truck Containers Empty,489,POINT (-94.72512 48.70731)
Port Huron,Michigan,3802,US-Canada Border,03/01/2019 12:00:00 AM,Buses,196,POINT (-82.47889 42.97583)
Portal,North Dakota,3403,US-Canada Border,03/01/2019 12:00:00 AM,Bus Passengers,358,POINT (-102.54917 48.99583)
Danville,Washington,3012,US-Canada Border,03/01/2019 12:00:00 AM,Personal Vehicle Passengers,3567,POINT (-118.50309000000001 48.99617)
Brownsville,Texas,2301,US-Mexico Border,03/01/2019 12:00:00 AM,Trains,76,POINT (-97.49722 25.90139)
El Paso,Texas,2402,US-Mexico Border,03/01/2019 12:00:00 AM,Trucks,68998,POINT (-106.48639 31.758610000000004)
Champlain-Rouses Point,New York,712,US-Canada Border,03/01/2019 12:00:00 AM,Rail Containers Full,4872,POINT (-73.44694 44.98639)
Derby Line,Vermont,209,US-Canada Border,03/01/2019 12:00:00 AM,Personal Vehicles,30580,POINT (-72.09944 45.005)
Van Buren,Maine,108,US-Canada Border,03/01/2019 12:00:00 AM,Truck Containers Full,833,POINT (-67.94271 47.16207)
Ogdensburg,New York,701,US-Canada Border,03/01/2019 12:00:00 AM,Personal Vehicle Passengers,40591,POINT (-75.48167 44.70667)
Boundary,Washington,3015,US-Canada Border,03/01/2019 12:00:00 AM,Pedestrians,6,POINT (-117.89655000000002 48.54648)
Brownsville,Texas,2301,US-Mexico Border,03/01/2019 12:00:00 AM,Truck Containers Empty,11553,POINT (-97.49722 25.90139)
Sherwood,North Dakota,3414,US-Canada Border,03/01/2019 12:00:00 AM,Personal Vehicle Passengers,2058,POINT (-101.55954000000001 48.99719)
Sherwood,North Dakota,3414,US-Canada Border,03/01/2019 12:00:00 AM,Trucks,515,POINT (-101.55954000000001 48.99719)
Alcan,Alaska,3104,US-Canada Border,03/01/2019 12:00:00 AM,Truck Containers Empty,392,POINT (-142.98928 63.33693)
Portal,North Dakota,3403,US-Canada Border,03/01/2019 12:00:00 AM,Buses,9,POINT (-102.54917 48.99583)
Norton,Vermont,211,US-Canada Border,03/01/2019 12:00:00 AM,Truck Containers Full,711,POINT (-71.79528000000002 45.01)
Jackman,Maine,104,US-Canada Border,03/01/2019 12:00:00 AM,Pedestrians,5,POINT (-70.255 45.62389)
Otay Mesa,California,2506,US-Mexico Border,03/01/2019 12:00:00 AM,Rail Containers Empty,235,POINT (-117.05333 32.57333)
Roosville,Montana,3318,US-Canada Border,03/01/2019 12:00:00 AM,Personal Vehicles,9282,POINT (-115.04512000000001 48.88171)
Massena,New York,704,US-Canada Border,03/01/2019 12:00:00 AM,Bus Passengers,3289,POINT (-74.74 44.98944)
Portal,North Dakota,3403,US-Canada Border,03/01/2019 12:00:00 AM,Train Passengers,399,POINT (-102.54917 48.99583)
Progreso,Texas,2309,US-Mexico Border,03/01/2019 12:00:00 AM,Trucks,5198,POINT (-97.94889 26.061670000000003)
Eagle Pass,Texas,2303,US-Mexico Border,03/01/2019 12:00:00 AM,Buses,207,POINT (-100.49917 28.70889)
Richford,Vermont,203,US-Canada Border,03/01/2019 12:00:00 AM,Rail Containers Full,159,POINT (-72.67832000000001 44.98588)
Lukeville,Arizona,2602,US-Mexico Border,03/01/2019 12:00:00 AM,Personal Vehicle Passengers,123243,POINT (-112.81500000000001 31.8825)
Hansboro,North Dakota,3415,US-Canada Border,03/01/2019 12:00:00 AM,Truck Containers Empty,5,POINT (-99.38250000000001 48.95)
Beecher Falls,Vermont,206,US-Canada Border,03/01/2019 12:00:00 AM,Truck Containers Full,482,POINT (-71.49664 45.00808)
Sumas,Washington,3009,US-Canada Border,03/01/2019 12:00:00 AM,Rail Containers Empty,233,POINT (-122.26361 49.00028)
Westhope,North Dakota,3419,US-Canada Border,03/01/2019 12:00:00 AM,Personal Vehicles,616,POINT (-101.02001 48.9094)
Cross Border Xpress,California,2582,US-Mexico Border,03/01/2019 12:00:00 AM,Pedestrians,121176,POINT (-116.975 32.54722)
Warroad,Minnesota,3423,US-Canada Border,03/01/2019 12:00:00 AM,Bus Passengers,234,POINT (-95.3261 48.89625)
Ogdensburg,New York,701,US-Canada Border,03/01/2019 12:00:00 AM,Trucks,3203,POINT (-75.48167 44.70667)
