 Destination Port, Flow Duration, Total Fwd Packets, Total Backward Packets,Total Length of Fwd Packets, Total Length of Bwd Packets, Fwd Packet Length Max, Fwd Packet Length Min, Fwd Packet Length Mean, Fwd Packet Length Std,Bwd Packet Length Max, Bwd Packet Length Min, Bwd Packet Length Mean, Bwd Packet Length Std,Flow Bytes/s, Flow Packets/s, Flow IAT Mean, Flow IAT Std, Flow IAT Max, Flow IAT Min,Fwd IAT Total, Fwd IAT Mean, Fwd IAT Std, Fwd IAT Max, Fwd IAT Min,Bwd IAT Total, Bwd IAT Mean, Bwd IAT Std, Bwd IAT Max, Bwd IAT Min,Fwd PSH Flags, Bwd PSH Flags, Fwd URG Flags, Bwd URG Flags, Fwd Header Length, Bwd Header Length,Fwd Packets/s, Bwd Packets/s, Min Packet Length, Max Packet Length, Packet Length Mean, Packet Length Std, Packet Length Variance,FIN Flag Count, SYN Flag Count, RST Flag Count, PSH Flag Count, ACK Flag Count, URG Flag Count, CWE Flag Count, ECE Flag Count, Down/Up Ratio, Average Packet Size, Avg Fwd Segment Size, Avg Bwd Segment Size, Fwd Header Length,Fwd Avg Bytes/Bulk, Fwd Avg Packets/Bulk, Fwd Avg Bulk Rate, Bwd Avg Bytes/Bulk, Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets, Subflow Fwd Bytes, Subflow Bwd Packets, Subflow Bwd Bytes,Init_Win_bytes_forward, Init_Win_bytes_backward, act_data_pkt_fwd, min_seg_size_forward,Active Mean, Active Std, Active Max, Active Min,Idle Mean, Idle Std, Idle Max, Idle Min, Label
443,344,3,0,85,0,85,0,28.33333333,49.07477288,0,0,0,0,247093.0233,8720.930233,172,239.002092,341,3,344,172,239.002092,341,3,0,0,0,0,0,0,0,0,0,60,0,8720.930233,0,0,85,21.25,42.5,1806.25,0,0,0,0,1,0,0,0,0,28.33333333,28.33333333,0,60,0,0,0,0,0,0,3,85,0,0,256,-1,1,20,0,0,0,0,0,0,0,0,BENIGN
80,104,2,0,0,0,0,0,0,0,0,0,0,0,0,19230.76923,104,0,104,104,104,104,0,104,104,0,0,0,0,0,0,0,0,0,64,0,19230.76923,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,64,0,0,0,0,0,0,2,0,0,0,242,-1,0,32,0,0,0,0,0,0,0,0,BENIGN
3268,53502,18,13,4112,6798,1313,0,228.4444444,416.9378882,3069,0,522.9230769,942.6004333,203917.6106,579.4175919,1783.4,7335.036439,38620,0,53502,3147.176471,9703.190817,38863,1,14862,1238.5,3816.727239,13346,3,0,0,0,0,592,432,336.4360211,242.9815708,0,3069,340.9375,681.3588386,464249.8669,0,0,0,1,0,0,0,0,0,351.9354839,228.4444444,522.9230769,592,0,0,0,0,0,0,18,4112,13,6798,29200,2081,10,32,0,0,0,0,0,0,0,0,BENIGN
1309,2031,3,0,0,0,0,0,0,0,0,0,0,0,0,1477.104874,1015.5,1430.477018,2027,4,2031,1015.5,1430.477018,2027,4,0,0,0,0,0,0,0,0,0,60,0,1477.104874,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,60,0,0,0,0,0,0,3,0,0,0,4396,-1,0,20,0,0,0,0,0,0,0,0,BENIGN
443,1129,2,0,0,0,0,0,0,0,0,0,0,0,0,1771.479185,1129,0,1129,1129,1129,1129,0,1129,1129,0,0,0,0,0,0,0,0,0,40,0,1771.479185,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,40,0,0,0,0,0,0,2,0,0,0,251,-1,0,20,0,0,0,0,0,0,0,0,BENIGN
1395,3,2,0,31,0,31,0,15.5,21.92031022,0,0,0,0,10300000,666666.6667,3,0,3,3,3,3,0,3,3,0,0,0,0,0,1,0,0,0,40,0,666666.6667,0,0,31,20.66666667,17.89785834,320.3333333,0,1,0,0,1,0,0,0,0,31,15.5,0,40,0,0,0,0,0,0,2,31,0,0,30016,-1,0,20,0,0,0,0,0,0,0,0,BENIGN
443,5098025,9,7,344,3786,187,0,38.22222222,69.5139874,1460,0,540.8571429,683.6681526,810.1176436,3.13847029,339868.3333,1197275.608,4662050,3,5098025,637253.125,1629095.824,4662050,3,385324,64220.66667,95514.45185,248203,50,0,0,0,0,204,152,1.765389538,1.373080752,0,1460,242.9411765,493.7456925,243784.8088,0,0,0,1,0,0,0,0,0,258.125,38.22222222,540.8571429,204,0,0,0,0,0,0,9,344,7,3786,8192,119,3,20,0,0,0,0,0,0,0,0,BENIGN
49666,34694221,19,16,5526,2554,1711,0,290.8421053,511.2325263,284,0,159.625,113.9074917,232.8918122,1.008813543,1020418.265,5938597.059,34600000,2,34700000,1927456.722,8161386.402,34600000,2,4109,273.9333333,467.1812843,1812,3,0,0,0,0,404,344,0.547641637,0.461171905,0,1711,224.4444444,381.7420554,145726.9968,0,0,0,1,0,0,0,0,0,230.8571429,290.8421053,159.625,404,0,0,0,0,0,0,19,5526,16,2554,8192,2049,12,20,0,0,0,0,0,0,0,0,BENIGN
80,86,2,0,0,0,0,0,0,0,0,0,0,0,0,23255.81395,86,0,86,86,86,86,0,86,86,0,0,0,0,0,0,0,0,0,40,0,23255.81395,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,40,0,0,0,0,0,0,2,0,0,0,256,-1,0,20,0,0,0,0,0,0,0,0,BENIGN
80,4915220,2,1,1,0,1,0,0.5,0.707106781,0,0,0,0,0.203449693,0.610349079,2457610,3443130.606,4892271,22949,4915220,4915220,0,4915220,4915220,0,0,0,0,0,0,0,0,0,40,32,0.406899386,0.203449693,0,1,0.5,0.577350269,0.333333333,0,0,0,0,1,0,0,0,0,0.666666667,0.5,0,40,0,0,0,0,0,0,2,1,1,0,256,980,0,20,0,0,0,0,0,0,0,0,BENIGN
