Time,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,Amount,Class
1.000000,-1.358354,-1.340163,1.773209,0.379780,-0.503198,1.800499,0.791461,0.247676,-1.514654,0.207643,0.624501,0.066084,0.717293,-0.165946,2.345865,-2.890083,1.109969,-0.121359,-2.261857,0.524980,0.247998,0.771679,0.909412,-0.689281,-0.327642,-0.139097,-0.055353,-0.059752,378.660000,0
2.000000,-1.158233,0.877737,1.548718,0.403034,-0.407193,0.095921,0.592941,-0.270533,0.817739,0.753074,-0.822843,0.538196,1.345852,-1.119670,0.175121,-0.451449,-0.237033,-0.038195,0.803487,0.408542,-0.009431,0.798278,-0.137458,0.141267,-0.206010,0.502292,0.219422,0.215153,69.990000,0
14.000000,-5.401258,-5.450148,1.186305,1.736239,3.049106,-1.763406,-1.559738,0.160842,1.233090,0.345173,0.917230,0.970117,-0.266568,-0.479130,-0.526609,0.472004,-0.725481,0.075081,-0.406867,-2.196848,-0.503600,0.984460,2.458589,0.042119,-0.481631,-0.621272,0.392053,0.949594,46.800000,0
29.000000,0.996370,-0.122589,0.546819,0.706580,0.134560,1.156995,-0.294561,0.407429,0.337863,-0.408150,0.682646,1.253720,0.391917,-0.037511,0.795302,-1.668211,1.322995,-2.830035,-1.463432,-0.203461,-0.076302,0.108867,0.162231,-0.575624,0.109795,0.373813,0.050552,0.005106,20.530000,0
33.000000,-0.607877,1.031345,1.740450,1.232106,0.418592,0.119168,0.850893,-0.176267,-0.243501,0.148455,-0.387003,0.398299,0.481917,-0.365439,0.235545,-1.347811,0.504648,-0.798405,0.759710,0.254325,-0.087329,0.258315,-0.264775,0.118282,0.173508,-0.217041,0.094312,-0.033041,14.800000,0
42.000000,-0.249361,0.399227,0.068009,-1.060619,2.410399,3.736574,0.316446,0.672296,0.015140,-0.269502,-0.495120,-0.161506,-0.274214,-0.276191,-0.172409,-0.118962,-0.550002,-0.148052,0.771762,0.107676,-0.257663,-0.616762,-0.156669,1.031135,0.120617,0.310494,-0.288299,-0.223964,32.510000,0
44.000000,0.927060,-0.323684,0.387585,0.544474,0.246787,1.650358,-0.427576,0.615371,0.226278,-0.225495,1.944545,1.385160,-0.479262,0.314166,0.214167,-1.333716,1.002869,-2.119314,-1.053043,-0.185390,-0.040513,0.079359,0.096632,-0.992569,0.085096,0.377447,0.036096,-0.005960,45.710000,0
46.000000,1.006589,-0.071105,0.347614,1.329684,-0.193240,0.155418,0.008574,0.146538,0.103844,0.031830,1.070981,0.940665,-0.729474,0.380115,-0.729126,-0.493402,0.043556,-0.405290,-0.092585,-0.091367,-0.020239,-0.018881,-0.120966,0.027382,0.593864,-0.334688,0.021368,0.015080,67.970000,0
53.000000,-1.198968,-1.474100,1.840326,-4.515824,0.327567,-0.174469,0.959726,-1.026456,1.700435,-0.078942,1.662667,0.485619,-0.933025,-1.118787,0.141253,-2.811888,-0.504746,0.891223,-1.512022,-0.769854,-0.453169,0.334614,-0.364541,-0.310186,-0.302599,-1.243924,-1.123457,-0.734351,89.170000,0
68.000000,1.232996,0.189454,0.491040,0.633673,-0.511574,-0.990609,0.066240,-0.196940,0.075921,-0.066060,-0.255743,0.255157,0.105247,0.284677,1.057322,0.315891,-0.411940,-0.511912,-0.120427,-0.077871,-0.251566,-0.770139,0.125998,0.369627,0.205598,0.094062,-0.033138,0.020990,15.990000,0
