lat,lng,desc,zip,title,timeStamp,twp,addr,e
40.1552833,-75.2642296,PENLLYN BLUE BELL PIKE & VILLAGE CIR;  WHITPAIN; Station 385; 2015-12-10 @ 18:02:38;,19422,EMS: HEAD INJURY,2015-12-10 18:02:38,WHITPAIN,PENLLYN BLUE BELL PIKE & VILLAGE CIR,1
40.2432612,-75.2960797,W MT VERNON ST & S MITCHELL AVE; LANSDALE; 2015-12-10 @ 19:08:43;,19446,Traffic: ROAD OBSTRUCTION -,2015-12-10 19:08:43,LANSDALE,W MT VERNON ST & S MITCHELL AVE,1
40.0039548,-75.2207009,BELMONT AVE & E CITY AVE; LOWER MERION; 2015-12-10 @ 20:36:49;,19004,Traffic: VEHICLE ACCIDENT -,2015-12-10 20:36:49,LOWER MERION,BELMONT AVE & E CITY AVE,1
39.9997391,-75.2557489,HEATH RD & ZOLLINGER WAY; LOWER MERION; 2015-12-10 @ 23:01:58-Station:STA26;,19066,Fire: FIRE ALARM,2015-12-10 23:01:58,LOWER MERION,HEATH RD & ZOLLINGER WAY,1
40.0794421,-75.3068746,WOOD ST & W 5TH AVE;  CONSHOHOCKEN; Station 313A; 2015-12-11 @ 03:47:25;,19428,EMS: LACERATIONS,2015-12-11 03:47:25,CONSHOHOCKEN,WOOD ST & W 5TH AVE,1
40.2469315,-75.6439204,CHESTNUT ST & N FRANKLIN ST; POTTSTOWN; 2015-12-11 @ 07:26:10-Station:STA69;,19464,Fire: GAS-ODOR/LEAK,2015-12-11 07:26:10,POTTSTOWN,CHESTNUT ST & N FRANKLIN ST,1
40.2979670,-75.2960191,BERGEY RD & CAMPUS DR; HATFIELD TOWNSHIP; 2015-12-11 @ 08:50:08-Station:STA17;,19440,Fire: FIRE ALARM,2015-12-11 08:50:08,HATFIELD TOWNSHIP,BERGEY RD & CAMPUS DR,1
40.1033767,-75.4124499,VALLEY FORGE CIR & OLD VALLEY FORGE RD;  UPPER MERION; Station 317; 2015-12-11 @ 10:34:58;,19406,EMS: UNCONSCIOUS SUBJECT,2015-12-11 10:34:58,UPPER MERION,VALLEY FORGE CIR & OLD VALLEY FORGE RD,1
40.2413204,-75.2428276,BETHLEHEM PIKE & NORTH WALES RD; MONTGOMERY; 2015-12-11 @ 11:58:38;,19454,Traffic: ROAD OBSTRUCTION -,2015-12-11 11:58:38,MONTGOMERY,BETHLEHEM PIKE & NORTH WALES RD,1
40.2502049,-75.3129519,WESTHAMPTON WAY & TROXEL RD;  TOWAMENCIN; Station 345B; 2015-12-11 @ 13:01:51;,19446,EMS: MEDICAL ALERT ALARM,2015-12-11 13:01:51,TOWAMENCIN,WESTHAMPTON WAY & TROXEL RD,1
40.0833993,-75.2929707,E 14TH AVE & HALLOWELL ST; WHITEMARSH; 2015-12-11 @ 14:16:26;,19428,Traffic: VEHICLE ACCIDENT -,2015-12-11 14:16:26,WHITEMARSH,E 14TH AVE & HALLOWELL ST,1
40.3120170,-75.3252905,MAIN ST & CENTRAL AVE;  SOUDERTON; Station 339; 2015-12-11 @ 15:26:05;,18964,EMS: DIZZINESS,2015-12-11 15:26:05,SOUDERTON,MAIN ST & CENTRAL AVE,1
40.0837614,-75.1422046,W CHURCH RD & WASHINGTON LN; CHELTENHAM; 2015-12-11 @ 16:10:41;,19095,Traffic: VEHICLE ACCIDENT -,2015-12-11 16:10:41,CHELTENHAM,W CHURCH RD & WASHINGTON LN,1
