id,value1,value2,category
0,1.3780951624194322,49,B
1,0.07711044115431528,8,B
2,-0.7494848315433914,92,A
3,-0.12825033636630975,8,C
4,0.7297615322112748,86,C
5,-0.8594774492901682,11,A
6,-0.7297200304218237,10,B
7,-1.6626134600051028,76,A
8,2.081370472327332,64,A
9,0.5711939951034403,18,B
10,-1.4635983773551426,17,B
11,1.3562241629310416,88,B
12,0.7298455188410776,12,B
13,-0.9328532714838553,81,A
14,-0.22427770337509206,53,B
15,-0.08921239504736357,58,B
16,-0.45394600546180136,86,B
17,-3.8001258115791883,82,B
18,-0.12595518132994038,49,A
19,0.9608033937711589,81,B
20,-1.7156458675613206,84,A
21,-0.06246938329559658,38,B
22,-2.8465228477215354,15,A
23,-2.403101064187886,29,B
24,1.718665148853696,92,A
25,0.6054847617317263,3,C
26,-1.408702016360319,79,C
27,-1.0146664723932874,88,B
28,0.44121316057105986,42,C
29,-0.8699107915331894,57,A
30,-0.5365919787636388,84,C
31,-0.1976057647357469,45,A
32,-0.42201384064775405,92,A
33,0.19043026256604687,93,B
34,0.3854380879464519,70,A
35,-0.689786039311023,6,B
36,0.5791895573866239,22,C
37,-0.5768607838637081,10,A
38,-1.412733346867498,1,B
39,-1.254280765344849,29,B
40,1.0973386956780093,23,C
41,0.6804812850616715,78,A
42,0.182680709788957,5,B
43,0.07322960022375549,43,B
44,-0.9184251707500785,34,A
45,0.15455176542035592,45,A
46,0.43567156475668106,54,B
47,-0.24808824080215175,55,B
48,0.1768619580905987,56,A
49,-1.453689496118699,68,B
50,0.806621088262103,66,A
51,-1.3891956656143258,45,C
52,0.9481027466143903,18,B
53,0.877639767280243,53,C
54,-0.49061968671212325,52,A
55,-0.5245208233714904,82,C
56,0.036437915557790516,39,A
57,-0.12079333060710779,71,C
58,0.88659948998811,13,C
59,-0.908257779120877,15,A
60,1.698991297464115,73,A
61,0.5014792682410092,58,A
62,-0.06080775604166738,47,C
63,0.9165161833524149,29,C
64,1.0112102087691075,1,A
65,0.5213743359347792,72,C
66,-1.321272527301085,90,A
67,-1.4492538088007172,67,B
68,1.2549031495173402,49,A
69,0.5237857983659695,32,B
70,-1.5441347130608132,11,B
71,-0.6572646052356741,66,A
72,-0.3979100674480733,67,A
73,-0.6368936307412976,50,A
74,-0.18293565531616285,84,A
75,1.6994521747968925,63,C
76,1.6626523426336492,3,B
77,0.4305061405738563,25,C
78,0.19594229657498125,21,C
79,0.6871384672790266,12,C
80,-1.6461763548864206,69,B
81,1.638539984434918,63,C
82,-0.750127571045179,22,C
83,0.6278812381407922,44,B
84,-0.31701330066473865,19,B
85,1.6112242541703818,72,B
86,-0.8621241439030352,80,C
87,-0.563502571875479,11,B
88,0.7793706074371358,51,A
89,-0.9538308339951382,65,A
90,0.3801502102703623,41,B
91,0.27400097410275437,71,A
92,-0.3506650590722016,12,B
93,0.3401279055785686,21,B
94,0.8626574315648379,10,B
95,0.9777391001639041,6,C
96,0.31048918036732387,46,B
97,0.11518168531863497,55,B
98,0.7329406366872846,22,A
99,-1.2667045247031503,77,A
100,-1.8933369043784163,99,B
101,-0.7982091875046443,70,B
102,0.08762780468652405,24,B
103,0.7194716830837112,98,C
104,-1.2419597011443257,60,A
105,-0.7660573959027815,43,B
106,-1.352201733860423,74,A
107,-0.8505146888413934,60,C
108,-0.3383061881299963,66,C
109,-0.9179081203727996,38,A
110,-0.5000940396636612,55,C
111,1.4770696616481385,46,B
112,-0.12621832832468155,90,B
113,-0.2575784284348839,24,B
114,0.600675599889945,27,B
115,0.20310199529351775,62,B
116,-0.8271417635413094,62,B
117,-1.3531852543728828,16,C
118,0.12585653213878448,98,A
119,0.5630749872726246,87,B
120,-0.22853452850827297,20,A
121,-1.6413636493319301,36,C
122,0.3735191261599142,67,B
123,1.1015042034276383,11,B
124,0.21564337824091842,63,B
125,1.9950020877894084,41,B
126,-0.17484681006599037,37,C
127,1.7034255620187762,67,B
128,0.9944663458130327,92,C
129,-0.3022812278632987,66,B
130,-1.3629070134816894,97,B
131,0.5566616639207915,31,B
132,-0.7155804548009294,1,C
133,-0.9951549071517009,94,A
134,1.1620885925850792,45,A
135,1.3907742696875534,58,B
136,0.23512027404868988,6,B
137,-1.5275572039432304,21,A
138,-0.3259305306162768,32,A
139,1.699959416612206,26,C
140,-0.7383155558420432,18,A
141,-0.23239039503688486,82,A
142,-0.6461164994735665,79,C
143,0.13019370677704264,34,A
144,0.9511420273769844,14,A
145,-0.3172446057620155,13,C
146,2.709520399651673,35,A
147,-1.427045641590423,78,B
148,1.471959126035124,85,C
149,-0.862599865667397,82,A
150,-0.1753078417010868,20,C
151,-0.8105632218768504,92,C
152,0.3377115484341489,99,C
153,-1.3831235357699148,46,C
154,-1.6079070013440073,47,C
155,-1.418665157412152,92,B
156,0.18321116085869563,68,C
157,2.0129059899953514,4,B
158,1.5532773619560012,57,C
159,1.95615986931947,15,A
160,-0.16710466780048436,76,A
161,-2.0421544922890336,19,C
162,-1.441883021913473,40,B
163,-1.0095116254920382,39,C
164,0.6957529629513017,6,C
165,0.1613238109490246,82,B
166,0.4101062326186199,91,A
167,-1.1723829570652469,34,C
168,-0.48406628134471125,33,B
169,-0.22062561776526765,57,C
170,-0.3039848879709933,18,A
171,0.7649539451231818,32,B
172,-0.5960002927996781,10,C
173,-1.6197581618552548,9,B
174,0.5704473882556661,51,B
175,0.19602452799546086,38,B
176,0.18684487307216555,91,A
177,-0.30998425553455755,60,C
178,0.5678212902184978,83,C
179,1.0542551833925082,24,C
180,1.7547817752978343,42,C
181,1.4496359472019058,84,C
182,1.440959570744595,23,A
183,2.1341757311533294,61,A
184,0.7249856548845659,89,B
185,-0.43036562078514534,33,B
186,0.9840632606726181,72,B
187,0.2334327949721107,8,A
188,-0.3607263198785806,57,C
189,0.20487303895970674,88,B
190,1.4664736295656808,54,B
191,0.8818827950651552,1,A
192,-0.8688582982359364,8,C
193,-2.105134525923343,15,C
194,-0.6960894770765496,5,A
195,-0.11124661726708103,61,A
196,-0.23513825542968803,8,B
197,-0.15862744038655144,18,B
198,-2.249491923210017,89,C
199,-0.11983499187450047,92,A
200,1.1448639802502574,66,C
201,-0.5707196478405727,27,B
202,0.4115275159063639,67,C
203,-0.22530046213054813,60,A
204,0.1230711435116463,79,C
205,0.6065428364385074,86,B
206,0.8226504602513872,94,A
207,0.8521371850046431,72,C
208,0.4358319913709792,90,A
209,1.5786800517337165,54,B
210,0.6284941567715221,41,C
211,-1.2472420444095351,94,A
212,-1.7723042927894235,45,C
213,0.7862491647832067,32,A
214,-1.015096076967728,29,C
215,1.1834740282294203,64,A
216,0.6726198662916953,67,B
217,2.5422989891600367,82,B
218,0.8395533756371516,9,C
219,-0.3806891170453124,4,C
220,1.0694885690778348,26,B
221,-0.005111401480720161,63,C
222,-1.236282027575979,58,A
223,2.1179742063929243,48,C
224,0.6859115357675153,69,B
225,-0.6416054149034801,93,B
226,0.22325998088520715,83,C
227,-2.0836820145713837,77,C
228,-1.1336364313685567,77,A
229,0.8558522587225571,95,C
230,-0.4860556685909818,12,B
231,-0.16190528915623162,69,A
232,-1.2924816353704403,47,B
233,0.0738344323145087,65,C
234,-0.5596655854404521,96,B
235,-0.9109263889600855,70,C
